ROOMID,TYPE,TITLE,XCOORD,YCOORD
CLASS1,CLASS,Classroom 1,2400,1580
CLASS2,CLASS,Classroom 2,2978,1190
CLASS3,CLASS,Classroom 3,2822,809
CLASS4,CLASS,Classroom 4,2480,290
CLASS5,CLASS,Classroom 5,2340,800
CLASS6,CLASS,Classroom 6,2200,290
CLASS7,CLASS,Classroom 7,2040,800
CLASS8,CLASS,Classroom 8,1840,290
WZ1,WORKZONE,Work Zone 1,1320,1120
WZ2,WORKZONE,Work Zone 2,1360,457
WZ3,WORKZONE,Work Zone 3,547,457
WZ4,WORKZONE,Work Zone 4,400,1400
WZ5,WORKZONE,Work Zone 5,1740,2020
AM1,AMPHITHEATER,Amphiteather,3080,1750
DESK1,DESK,Desk 1,223,665
DESK2,DESK,Desk 2,227,866
DESK3,DESK,Desk 3,227,1055
DESK4,DESK,Desk 4,493,1028
DESK5,DESK,Desk 5,300,1719
DESK6,DESK,Desk 6,660,1758
DESK7,DESK,Desk 7,752,1089
DESK8,DESK,Desk 8,752,1184
DESK9,DESK,Desk 9,752,1274
DESK10,DESK,Desk 10,752,1357
DESK11,DESK,Desk 11,752,1440
DESK12,DESK,Desk 12,969,1622
DESK13,DESK,Desk 13,1071,1622
DESK14,DESK,Desk 14,1164,1622
DESK15,DESK,Desk 15,969,1686
DESK16,DESK,Desk 16,1042,1686
DESK17,DESK,Desk 17,1113,1686
DESK18,DESK,Desk 18,974,1930
DESK19,DESK,Desk 19,1055,1930
DESK20,DESK,Desk 20,1113,1930
DESK21,DESK,Desk 21,1186,1930
DESK22,DESK,Desk 22,1411,2465
DESK23,DESK,Desk 23,1830,2681
DESK24,DESK,Desk 24,1838,2906
DESK25,DESK,Desk 25,2313,2674
DESK26,DESK,Desk 26,2313,2775
DESK27,DESK,Desk 27,2313,2858
DESK28,DESK,Desk 28,2313,2966
BANK1,BANK,Bank 1,434,672
BANK2,BANK,Bank 2,493,825
BANK3,BANK,Bank 3,1465,737
BANK4,BANK,Bank 4,1054,1086
BANK5,BANK,Bank 5,1390,1974
BANK6,BANK,Bank 6,1642,1974
BANK7,BANK,Bank 7,1635,1728
BANK8,BANK,Bank 8,2008,2401
BANK9,BANK,Bank 9,2151,2401
BANK10,BANK,Bank 10,2134,2140
